object_id,ra,dec,base_mag,type,injection_id
100000,134.8344427850505,81.12857515378491,22.39196365086843,background,
100001,245.97486677716495,19.799398400871766,22.999169470416987,background,
100002,229.5206896878767,69.69829366373878,20.833289550971696,background,
100003,97.96760977846871,26.584221697445216,18.003122261971896,background,
100004,14.67905095971501,16.36072977388352,22.065386171053696,background,
100005,249.08227116936956,27.3530267104681,19.34561585676336,background,
100006,343.41428772093144,74.67559023968073,20.22095220153267,background,
100007,55.81498202198791,86.7313598958956,23.03360101241618,background,
100008,343.7515010387499,42.82144500523833,21.326124315068405,background,
100009,346.02860297660914,72.96311555209147,19.17474680873578,background,
100010,243.6371655927492,-3.146229064324359,20.95815394663083,background,
100011,134.95340862853345,-38.57182446926507,23.21159476913676,background,
100012,354.70297823958157,-22.186985411170667,22.497469799856432,background,
100013,293.89886467670243,84.23527777916814,18.53044934019388,background,
100014,193.4148300170652,-7.178551382957039,21.50859663569492,background,
100015,87.28938130850268,-41.53621842911143,20.263704978627736,background,
100016,28.884148438191197,4.412050122645837,20.462380961937967,background,
100017,335.8577041559837,88.36730576233032,19.230010860319425,background,
100018,359.1693417325836,45.43256160698809,22.241882767460755,background,
100019,152.68704166885897,42.55996241245012,23.60620208861409,background,
100020,24.147531859833894,44.99288467185201,19.259433558573516,background,
100021,305.32611436807804,-67.90015986071248,23.25866445525176,background,
100022,94.92616894846192,-42.0302891932412,22.393107470754373,background,
100023,32.969546397588296,75.1164435832037,18.82091178551377,background,
100024,232.03679422529598,27.030123079781063,20.188183496743836,background,
100025,84.09879037796757,-82.42322586545487,18.107243608400484,background,
100026,101.30074580790964,-44.523163087040686,18.030492838908156,background,
100027,294.4681286828624,59.784152032393536,21.044806402565015,background,
100028,229.86934115907079,-18.433008366697024,19.64529121409202,background,
100029,342.95350969393814,73.40735753723521,22.34571184875847,background,
100030,199.08052293310504,17.545655273747414,22.70299532051317,background,
100031,213.2461182936104,74.22540221100436,19.263973134034,background,
100032,128.4235390944006,6.032146553945211,22.690741979070175,background,
